,City,ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,kaeo,2189343,-35.1,173.78,60.01,78,10,8.01,NZ,1593484361
371,west bay,3580477,19.37,-81.42,84.99,79,1,1.01,KY,1593484646
372,shizunai,2128025,42.33,142.37,64.2,84,98,14.9,JP,1593484647
373,kalmunai,1242110,7.42,81.82,85.53,65,41,6.78,LK,1593484648
374,maceio,3395981,-9.67,-35.74,71.6,94,75,4.7,BR,1593484360
375,west wendover,5710035,40.74,-114.07,64.4,45,75,16.11,US,1593484648
376,mullaitivu,,,,,,,,,
377,penzance,2640377,50.12,-5.54,59,100,89,6.93,GB,1593484649
378,maymanak,,,,,,,,,
379,weinsberg,2812158,49.15,9.29,57,81,6,4.09,DE,1593484649
380,tiarei,4033356,-17.53,-149.33,80.6,57,75,10.29,PF,1593484650
381,mbigou,2398929,-1.9,11.91,63.19,96,64,2.19,GA,1593484650
382,kihei,5849297,20.79,-156.47,89.6,43,20,18.34,US,1593484651
383,yithion,,,,,,,,,
384,batagay,2027044,67.63,134.63,72.16,23,21,9.57,RU,1593484652
385,bud,4255151,39.45,-86.18,75,92,100,4.63,US,1593484652
386,nacozari,4018499,25.34,-108.26,84.99,68,95,5.99,MX,1593484652
387,sokolka,758651,53.41,23.5,63,100,100,9.53,PL,1593484652
388,saskylakh,2017155,71.92,114.08,91.54,23,23,11.97,RU,1593484414
389,nabire,1634614,-3.37,135.48,81.75,79,99,1.81,ID,1593484652
390,sarahan,1257277,31.52,77.8,68.5,52,1,3.15,IN,1593484652
391,baglung,1283711,28.27,83.59,78.53,67,27,3,NP,1593484652
392,huanren,2036713,41.26,125.37,71.33,78,100,5.48,CN,1593484653
393,anloga,2304548,5.79,0.9,77,88,20,9.17,GH,1593484336
394,kampot,1831112,10.62,104.18,82.4,83,40,3.36,KH,1593484653
395,roma,5134295,43.21,-75.46,71.6,64,90,3.36,US,1593484443
396,sal rei,3374235,16.18,-22.92,75.2,73,75,14.99,CV,1593484653
397,port keats,2063039,-14.25,129.55,85.71,25,22,3.11,AU,1593484653
398,fortuna,5563839,40.6,-124.16,62.01,72,20,16.11,US,1593484447
399,dinsor,,,,,,,,,
400,price,5545269,39.6,-110.81,57.2,33,75,3.36,US,1593484565
401,kholmogory,549748,64.22,41.66,48.2,81,20,2.24,RU,1593484656
402,lorengau,2092164,-2.02,147.27,86.18,68,77,7.81,PG,1593484416
403,kirakira,2178753,-10.45,161.92,83.97,69,94,4.7,SB,1593484315
404,sinjar,448149,36.32,41.88,79.61,36,0,11.9,IQ,1593484656
405,kozluk,306041,38.19,41.49,62.6,82,20,3.36,TR,1593484657
406,casablanca,2553604,33.59,-7.62,73,88,9,3.36,MA,1593484562
407,vila franca do campo,3372472,37.72,-25.43,68,82,40,9.17,PT,1593484658
408,tucuman,3836873,-26.82,-65.22,46.4,81,0,4.7,AR,1593484659
409,angoche,1052944,-16.23,39.91,72.86,84,4,9.33,MZ,1593484659
410,santo tomas,1687534,14.11,121.14,93,74,40,4.7,PH,1593484659
411,vaitupu,,,,,,,,,
412,hithadhoo,1282256,-0.6,73.08,84.09,66,63,3.6,MV,1593484308
413,nizhnevartovsk,1497543,60.93,76.55,53.6,93,90,11.18,RU,1593484660
414,chelno-vershiny,569497,54.43,51.1,49.08,81,0,6.44,RU,1593484660
415,balkanabat,161616,39.51,54.37,74.64,42,0,6.85,TM,1593484445
416,taylorville,4251141,39.55,-89.29,80.6,74,1,4.7,US,1593484537
417,quesnel,6115187,53,-122.5,59,87,90,4.7,CA,1593484661
418,pangnirtung,6096551,66.15,-65.71,45.93,65,87,3.2,CA,1593484417
419,coruripe,3465329,-10.13,-36.18,73.67,87,0,5.32,BR,1593484317
420,ipixuna,3408424,-1.76,-48.8,77,88,40,4.7,BR,1593484661
421,kudahuvadhoo,1337607,2.67,72.89,83.73,73,56,5.57,MV,1593484661
422,puerto ayacucho,3629710,5.66,-67.62,75.31,90,84,2.39,VE,1593484662
423,port hardy,6111862,50.7,-127.42,60.8,72,75,11.41,CA,1593484662
424,lagoa da prata,3459251,-20.02,-45.54,62.49,79,100,11.05,BR,1593484663
425,ilulissat,3423146,69.22,-51.1,41,86,73,1.12,GL,1593484313
426,balancan,3532443,17.8,-91.53,77.59,88,100,4.14,MX,1593484664
427,raudeberg,3146487,61.99,5.14,55.99,90,1,14.83,NO,1593484664
428,cordele,4189423,31.96,-83.78,82.99,78,1,6.62,US,1593484664
429,nhulunbuy,2064735,-12.23,136.77,82.4,61,75,12.75,AU,1593484322
430,suoyarvi,486186,62.08,32.35,52.86,66,100,8.25,RU,1593484384
431,siocon,1686123,7.71,122.14,83.25,68,82,3.69,PH,1593484665
432,ayorou,2447416,14.73,0.92,91.56,41,73,7.25,NE,1593484666
433,diapaga,2361373,12.07,1.79,80.04,67,68,6.04,BF,1593484667
434,eyl,60019,7.98,49.82,81.27,66,99,25.19,SO,1593484667
435,gulshat,,,,,,,,,
436,westport,4845585,41.14,-73.36,69.8,83,1,5.59,US,1593484439
437,pilar,3392126,-9.6,-35.96,71.6,94,75,4.7,BR,1593484667
438,margate,2643044,51.38,1.39,57.99,79,58,4,GB,1593484431
439,kloulklubed,7671223,7.04,134.26,80.6,83,90,4.7,PW,1593484668
440,kahului,5847411,20.89,-156.47,89.6,43,20,18.34,US,1593484309
441,melita,6071900,49.27,-101,78.01,84,1,3,CA,1593484669
442,sambava,1056899,-14.27,50.17,68.09,79,1,9.22,MG,1593484669
443,skalistyy,,,,,,,,,
444,sorong,1626542,-0.88,131.25,82.72,70,50,5.37,ID,1593484318
445,palabuhanratu,,,,,,,,,
446,doha,290030,25.29,51.53,89.01,66,0,4.7,QA,1593484342
447,mahibadhoo,1337605,3.78,72.97,83.79,74,46,7.58,MV,1593484672
448,bilibino,2126682,68.05,166.44,44.53,57,53,14.23,RU,1593484326
449,berlevag,780687,70.86,29.09,40.15,77,100,17.29,NO,1593484665
450,khormuj,,,,,,,,,
451,northam,2641434,51.03,-4.22,57,87,50,8.01,GB,1593484352
452,trois-pistoles,,,,,,,,,
453,boyolangu,1648082,-8.12,111.89,81,73,26,8.3,ID,1593484360
454,paragominas,3393106,-2.97,-47.48,71.73,98,31,2.73,BR,1593484673
455,tarko-sale,1490085,64.92,77.78,64,81,91,17.49,RU,1593484674
456,kemin,1528606,42.78,75.69,69.75,37,97,7.09,KG,1593484674
457,vostok,2013279,46.49,135.88,71.85,55,63,4.52,RU,1593484319
458,logrono,3118150,42.47,-2.45,59,87,0,9.17,ES,1593484675
459,rawson,3839307,-43.3,-65.1,45.54,90,100,18.05,AR,1593484364
460,umzimvubu,,,,,,,,,
461,paracuru,3393115,-3.41,-39.03,79,79,66,18.99,BR,1593484676
462,kipushi,922806,-11.77,27.23,53.6,64,100,4.34,CD,1593484676
463,sembe,2255304,1.65,14.58,69.96,94,90,2.46,CG,1593484677
464,port macquarie,2152659,-31.43,152.92,66,61,30,1.01,AU,1593484677
465,trinidad,3902377,-14.83,-64.9,68.79,86,81,3.76,BO,1593484678
466,chiniot,1181096,31.72,72.98,99.93,28,0,12.53,PK,1593484678
467,dalbandin,1180729,28.89,64.41,90.45,38,60,10.22,PK,1593484679
468,waipawa,2206874,-41.41,175.52,48.2,81,83,27.51,NZ,1593484366
469,kamenka,553766,51.32,42.77,55.99,96,0,5.77,RU,1593484354
470,chuchkovo,567806,54.27,41.45,50.68,83,0,4.94,RU,1593484679
471,camacha,2270385,33.08,-16.33,68,88,75,10.29,PT,1593484318
472,tabas,113659,33.6,56.92,86,12,0,6.93,IR,1593484320
473,sabya,102651,17.15,42.63,87.8,79,4,1.57,SA,1593484544
474,prince rupert,6113406,54.32,-130.32,53.6,87,90,4.7,CA,1593484399
475,novo aripuana,3663142,-5.12,-60.38,73.85,93,75,2.73,BR,1593484680
476,jorpeland,3150742,59.02,6.04,53.6,87,75,6.93,NO,1593484680
477,arraial do cabo,3471451,-22.97,-42.03,68,82,75,4.7,BR,1593484681
478,hofn,2630299,64.25,-15.21,48.27,72,72,14.45,IS,1593484408
479,kamenskoye,,,,,,,,,
480,korba,1266122,22.35,82.68,89.29,54,48,5.14,IN,1593484682
481,korla,1529376,41.76,86.15,75.99,75,0,1.01,CN,1593484682
482,oranjemund,3354071,-28.55,16.43,60.17,46,0,6.78,NA,1593484191
483,doctor juan leon mallorquin,3438754,-25.4,-55.27,66.2,82,100,6.93,PY,1593484683
484,kemijarvi,653272,66.71,27.43,55.81,92,100,13.2,FI,1593484341
485,claresholm,5923125,50.03,-113.59,57,93,90,4.7,CA,1593484683
486,odesskoye,1496380,54.21,72.97,59.54,70,100,6.87,RU,1593484683
487,moerai,4034188,-22.43,-151.33,70.83,72,55,22.59,PF,1593484684
488,tigil,2120612,57.8,158.67,67.42,56,0,14.47,RU,1593484684
489,sao joao da barra,3448903,-21.64,-41.05,68.74,77,100,9.42,BR,1593484684
490,barra do garcas,3470709,-15.89,-52.26,67.59,64,86,1.68,BR,1593484684
491,suhbaatar,2029156,50.23,106.21,81.28,35,30,8.81,MN,1593484685
492,sri aman,1735799,1.24,111.46,82.4,83,75,2.24,MY,1593484685
493,carutapera,3402648,-1.2,-46.02,75.78,91,1,4.94,BR,1593484453
494,okhotsk,2122605,59.38,143.3,57.33,88,100,11.81,RU,1593484334
495,narsaq,3421719,60.92,-46.05,46.4,70,61,10.29,GL,1593484439
496,muravlenko,1540711,63.79,74.52,55.67,82,84,8.03,RU,1593484506
497,gilazi,,,,,,,,,
498,college,5859699,64.86,-147.8,55.4,81,90,6.93,US,1593484425
499,katobu,1640972,-4.94,122.53,84.96,61,100,7.96,ID,1593484687
500,lagoa,3372964,39.05,-27.98,66.67,96,0,11.18,PT,1593484150
501,leningradskiy,2123814,69.38,178.42,33.22,94,60,1.07,RU,1593484340
502,inhambane,1045114,-23.86,35.38,65.19,70,0,7.54,MZ,1593484688
503,faya,110690,18.39,42.45,69.8,42,76,0.89,SA,1593484332
504,marovoay,1059507,-16.1,46.63,64.4,93,0,2.24,MG,1593484688
505,nueva san salvador,,,,,,,,,
506,hihifo,,,,,,,,,
507,goba,336350,7.02,39.98,50.25,85,31,3.24,ET,1593484689
508,san nicolas,1688859,18.17,120.6,87.8,66,40,6.93,PH,1593484690
509,tabuk,1684803,17.42,121.44,87.01,66,60,6.67,PH,1593484690
510,ossora,2122389,59.24,163.07,55.78,82,100,15.35,RU,1593484691
511,sawakin,367544,19.11,37.33,83.16,55,54,1.36,SD,1593484691
512,vokhma,472887,58.93,46.76,47.89,79,100,2.68,RU,1593484691
513,bur gabo,,,,,,,,,
514,neiafu,4032420,-18.65,-173.98,77,94,75,8.05,TO,1593484664
515,catia la mar,3646190,10.6,-67.03,78.8,88,40,2.24,VE,1593484692
516,abha,110690,18.22,42.51,71.6,42,90,0.87,SA,1593484692
517,airai,1651810,-8.93,125.41,71.29,68,34,4.03,TL,1593484424
518,peleduy,2018069,59.63,112.74,86.99,31,81,4.36,RU,1593484692
519,surt,2210554,31.21,16.59,72.93,61,0,3.87,LY,1593484325
520,tabiauea,,,,,,,,,
521,nalut,2214432,30.33,10.85,79.25,30,0,12.53,LY,1593484693
522,longlac,,,,,,,,,
523,vanimo,2084442,-2.67,141.3,86.23,60,100,4.81,PG,1593484421
524,caorle,3180749,45.6,12.88,72,81,69,10.54,IT,1593484693
525,ler,371466,8.3,30.14,75.33,78,63,5.26,SS,1593484694
526,baculin,1729469,7.45,126.58,85.26,64,27,5.59,PH,1593484694
527,deputatskiy,2028164,69.3,139.9,59.11,34,92,4.74,RU,1593484324
528,carballo,3126369,43.21,-8.69,59,87,13,1.83,ES,1593484695
529,doctor pedro p. pena,,,,,,,,,
530,khanapur,1267065,15.63,74.52,73.4,88,75,5.82,IN,1593484696
531,lakatoro,2136697,-16.1,167.42,77,100,90,10.29,VU,1593484696
532,luba,2309528,3.46,8.55,77,100,40,6.93,GQ,1593484697
533,heihe,2036973,50.24,127.49,77,65,20,4.47,CN,1593484697
534,san juan evangelista,3518679,17.9,-95.13,77.38,90,100,6.49,MX,1593484697
535,twentynine palms,5404198,34.14,-116.05,87.8,12,1,6.93,US,1593484697
536,kidal,2455290,18.44,1.41,85.75,14,49,7.81,ML,1593484697
537,kushiro,2129376,42.98,144.37,59,100,75,8.05,JP,1593484697
538,gavle,2712414,60.67,17.14,55.99,71,100,5.84,SE,1593484697
539,zaqatala,584596,41.63,46.64,66.2,59,0,9.17,AZ,1593484698
540,dzhusaly,,,,,,,,,
541,beisfjord,3144987,68.38,17.6,48.2,76,100,21.92,NO,1593484699
542,kill,2963388,52.18,-7.33,54,81,99,1.01,IE,1593484699
543,alakurtti,583472,66.97,30.35,55,90,100,5.99,RU,1593484662
544,kontagora,2334008,10.4,5.47,72.12,97,100,4.23,NG,1593484700
545,caravelas,3466980,-17.71,-39.25,73.4,81,82,11.3,BR,1593484686
546,nelson,2186280,-41.28,173.28,55.99,69,0,3,NZ,1593484700
547,uige,2236568,-7.61,15.06,61.23,92,14,2.73,AO,1593484700
548,nador,2541479,35.17,-2.93,73.4,83,90,2.24,MA,1593484579
549,igurubi,159382,-4,33.7,60.57,55,0,5.41,TZ,1593484701
550,kwinana,2068079,-32.25,115.77,62.01,93,75,21.92,AU,1593484701
551,namibe,3347019,-15.2,12.15,68.86,59,0,4.36,AO,1593484313
552,brae,2654970,60.4,-1.35,53.6,93,100,16.11,GB,1593484277
553,taoudenni,2450173,22.68,-3.98,94.62,10,0,7.74,ML,1593484358
554,vao,2137773,-22.67,167.48,68.16,65,41,18.39,NC,1593484412
555,vanderhoof,6173361,54.02,-124.02,64.22,56,42,4.63,CA,1593484704
556,nizhneyansk,,,,,,,,,
557,nizhniy baskunchak,520798,48.22,46.83,66.16,76,7,14.74,RU,1593484705
558,wulanhaote,,,,,,,,,
559,saquena,3692020,-4.67,-73.52,73.98,84,1,1.68,PE,1593484706
560,doume,2232497,4.23,13.45,67.03,97,100,2.26,CM,1593484707
561,port moresby,2088122,-9.44,147.18,80.6,83,90,23.04,PG,1593484707
562,shizilu,1794825,35.17,118.83,75,99,87,6.96,CN,1593484707
563,madimba,878141,-10.4,40.33,70.25,92,56,8.79,TZ,1593484707
564,batagay-alyta,2027042,67.8,130.41,73.4,35,0,5.88,RU,1593484708
565,villazon,3901501,-22.09,-65.59,41.76,43,26,20.67,BO,1593484326
566,camana,3945985,-16.62,-72.71,63.03,70,12,8.95,PE,1593484709
567,mengcheng,1800764,33.26,116.57,84.96,64,0,8.25,CN,1593484709
568,ginir,336454,7.13,40.7,56.01,89,21,6.93,ET,1593484711
569,crotone,2524881,39.09,17.12,76.69,54,0,2.51,IT,1593484711
570,gijon,3121424,43.54,-5.66,59,84,62,0.98,ES,1593484711
571,soe,1626703,-9.86,124.28,76.33,64,26,7.56,ID,1593484711
572,benghazi,88319,32.12,20.07,73.85,78,0,8.97,LY,1593484682
573,farah,1142263,32.5,62.5,81.19,15,27,0.83,AF,1593484711
574,jieshi,1805857,22.81,115.83,85.68,75,98,8.61,CN,1593484712
575,madera,5369578,37.17,-119.83,79,28,0,1.01,US,1593484712
576,wum,2221053,6.38,10.07,63.5,100,99,0.74,CM,1593484712
577,anamur,323828,36.08,32.84,79.27,53,0,3.24,TR,1593484485
578,bakel,2252606,14.9,-12.46,89.8,52,63,19.98,SN,1593484713
579,bhikangaon,1275978,21.87,75.95,83.34,70,94,6.69,IN,1593484714
580,mattawa,5802636,46.74,-119.9,82.4,25,1,16.11,US,1593484714
581,bandarbeyla,64814,9.49,50.81,82.44,61,100,27.67,SO,1593484441
582,stornoway,2636790,58.21,-6.39,54,100,72,6.93,GB,1593484707
583,domoni,921906,-12.26,44.53,75.81,80,11,10.89,KM,1593484714
584,jamkhed,1278455,18.74,75.31,76.17,82,100,2.28,IN,1593484714
585,bandar-e lengeh,141665,26.56,54.88,84.2,83,0,9.35,IR,1593484714
586,temaraia,,,,,,,,,
587,hirado,1862555,33.36,129.55,75,94,75,6.93,JP,1593484715
588,gat,293842,31.61,34.76,72,89,1,6.46,IL,1593484424
589,maloshuyka,,,,,,,,,
590,nata,3703938,8.33,-80.52,73.99,87,99,3.44,PA,1593484674
591,ardesen,751949,41.19,40.99,68,94,20,8.05,TR,1593484716
592,seydi,1218420,39.48,62.91,81.54,16,36,9.26,TM,1593484717
593,tobane,933002,-21.95,27.9,46.9,89,0,2.21,BW,1593484717
594,gladstone,2165478,-23.85,151.25,73.4,49,90,17.22,AU,1593484717
595,axim,2303611,4.87,-2.24,75.2,88,52,8.52,GH,1593484681
596,stromness,2636638,58.97,-3.3,53.6,93,84,13.87,GB,1593484718
597,tsivilsk,480851,55.86,47.47,50,81,20,2.24,RU,1593484718
598,karratha,6620339,-20.74,116.85,80.37,25,27,14.18,AU,1593484184
599,santo domingo,3492908,18.5,-69.99,82,96,100,5.93,DO,1593484683
600,zhuhai,1790437,22.28,113.57,95,74,20,8.05,CN,1593484718
601,vitimskiy,,,,,,,,,
602,myanaung,1308204,18.28,95.32,88.3,63,16,5.17,MM,1593484670
603,svetlyy,485660,54.67,20.13,57.2,87,45,8.95,RU,1593484719
604,manoel urbano,3663495,-8.84,-69.26,74.48,74,30,0.51,BR,1593484719
605,poum,2138555,-20.23,164.02,71.15,68,0,22.77,NC,1593484344
606,krasnovishersk,542184,60.41,57.08,47.97,68,97,4.85,RU,1593484719
607,greeneville,4626334,36.16,-82.83,73.99,83,90,10.29,US,1593484450
608,lamu,189741,-2.27,40.9,76.53,86,55,14.92,KE,1593484351
609,kyabe,2429344,9.45,18.94,73.2,94,100,3.65,TD,1593484349
610,lixourion,258175,38.2,20.43,73.04,75,0,8.03,GR,1593484720
611,am timan,245338,11.03,20.28,76.59,81,97,8.86,TD,1593484720
612,cairns,2172797,-16.92,145.77,80.01,61,0,14.99,AU,1593484437
613,pringsewu,1630639,-5.36,104.97,85.05,62,19,4.09,ID,1593484721
614,ingham,4997130,42.6,-84.38,75.2,83,1,8.05,US,1593484722
615,dawson creek,5935804,55.77,-120.24,55.4,87,40,14.99,CA,1593484722
616,winnemucca,5710360,40.97,-117.74,60.8,48,75,16.17,US,1593484722
617,nizwa,286987,22.93,57.53,85.73,49,0,0.81,OM,1593484722
618,zhicheng,1784554,30.3,111.5,90,67,0,4.54,CN,1593484722
619,amasia,752015,40.65,35.83,48.2,81,0,1.12,TR,1593484722
620,leirvik,3147822,59.78,5.5,55.99,76,37,3,NO,1593484722
621,quatre cocos,1106643,-20.21,57.76,69.8,88,40,3.36,MU,1593484723
